Start time: 2011-4-1 16:03:35
Channels:1
Time [ms],Y1 label
59145,170.000,0.000
59146,170.000,0.000
59147,170.000,0.000
59148,171.000,0.000
59149,171.000,0.000
59150,172.000,0.000
59151,173.000,0.000
59152,172.000,0.000
59153,171.000,0.000
59154,170.000,0.000
59155,170.000,0.000
59156,170.000,0.000
59157,171.000,0.000
59158,172.000,0.000
59159,173.000,0.000
59160,173.000,0.000
59161,172.000,0.000
59162,171.000,0.000
59163,170.000,0.000
59164,170.000,0.000
59165,170.000,0.000
59166,172.000,0.000
59167,173.000,0.000
59168,173.000,0.000
59169,172.000,0.000
59170,171.000,0.000
59171,171.000,0.000
59172,170.000,0.000
59173,170.000,0.000
59174,171.000,0.000
59175,172.000,0.000
59176,173.000,0.000
59177,173.000,0.000
59178,172.000,0.000
59179,171.000,0.000
59180,171.000,0.000
59181,170.000,0.000
59182,171.000,0.000
59183,172.000,0.000
59184,173.000,0.000
59185,173.000,0.000
59186,173.000,0.000
59187,172.000,0.000
59188,171.000,0.000
59189,170.000,0.000
59190,170.000,0.000
59191,171.000,0.000
59192,172.000,0.000
59193,172.000,0.000
59194,172.000,0.000
59195,172.000,0.000
59196,171.000,0.000
59197,170.000,0.000
59198,170.000,0.000
59199,171.000,0.000
59200,172.000,0.000
59201,172.000,0.000
59202,173.000,0.000
59203,173.000,0.000
59204,172.000,0.000
59205,170.000,0.000
59206,170.000,0.000
59207,171.000,0.000
59208,171.000,0.000
59209,172.000,0.000
59210,173.000,0.000
59211,173.000,0.000
59212,172.000,0.000
59213,171.000,0.000
59214,170.000,0.000
59215,170.000,0.000
59216,171.000,0.000
59217,172.000,0.000
59218,173.000,0.000
59219,173.000,0.000
59220,173.000,0.000
59221,172.000,0.000
59222,171.000,0.000
59223,170.000,0.000
59224,171.000,0.000
59225,171.000,0.000
59226,172.000,0.000
59227,173.000,0.000
59228,173.000,0.000
59229,172.000,0.000
59230,171.000,0.000
59231,170.000,0.000
59232,170.000,0.000
59233,170.000,0.000
59234,172.000,0.000
59235,173.000,0.000
59236,173.000,0.000
59237,173.000,0.000
59238,172.000,0.000
59239,171.000,0.000
59240,171.000,0.000
59241,170.000,0.000
59242,171.000,0.000
59243,172.000,0.000
59244,173.000,0.000
59245,172.000,0.000
59246,172.000,0.000
59247,171.000,0.000
59248,171.000,0.000
59249,170.000,0.000
59250,171.000,0.000
59251,172.000,0.000
59252,173.000,0.000
59253,173.000,0.000
59254,173.000,0.000
59255,172.000,0.000
59256,171.000,0.000
59257,170.000,0.000
59258,171.000,0.000
59259,171.000,0.000
59260,172.000,0.000
59261,172.000,0.000
59262,173.000,0.000
59263,172.000,0.000
59264,171.000,0.000
59265,170.000,0.000
59266,170.000,0.000
59267,170.000,0.000
