Start time: 2011-4-1 16:03:58
Channels:1
Time [ms],Y1 label
65708,173.000,0.000
65709,172.000,0.000
65710,171.000,0.000
65711,171.000,0.000
65712,170.000,0.000
65713,171.000,0.000
65714,172.000,0.000
65715,173.000,0.000
65716,172.000,0.000
65717,172.000,0.000
65718,171.000,0.000
65719,170.000,0.000
65720,170.000,0.000
65721,170.000,0.000
65722,172.000,0.000
65723,173.000,0.000
65724,173.000,0.000
65725,173.000,0.000
65726,172.000,0.000
65727,171.000,0.000
65728,170.000,0.000
65729,170.000,0.000
65730,171.000,0.000
65731,172.000,0.000
65732,172.000,0.000
65733,173.000,0.000
65734,172.000,0.000
65735,171.000,0.000
65736,170.000,0.000
65737,170.000,0.000
65738,171.000,0.000
65739,172.000,0.000
65740,172.000,0.000
65741,173.000,0.000
65742,173.000,0.000
65743,173.000,0.000
65744,171.000,0.000
65745,171.000,0.000
65746,171.000,0.000
65747,171.000,0.000
65748,172.000,0.000
65749,173.000,0.000
65750,173.000,0.000
65751,172.000,0.000
65752,171.000,0.000
65753,170.000,0.000
65754,170.000,0.000
65755,170.000,0.000
65756,171.000,0.000
65757,172.000,0.000
65758,173.000,0.000
65759,173.000,0.000
65760,172.000,0.000
65761,171.000,0.000
65762,171.000,0.000
65763,171.000,0.000
65764,171.000,0.000
65765,172.000,0.000
65766,173.000,0.000
65767,173.000,0.000
65768,172.000,0.000
65769,171.000,0.000
65770,171.000,0.000
65771,170.000,0.000
65772,170.000,0.000
65773,171.000,0.000
65774,172.000,0.000
65775,173.000,0.000
65776,172.000,0.000
65777,172.000,0.000
65778,171.000,0.000
65779,170.000,0.000
65780,170.000,0.000
65781,171.000,0.000
65782,172.000,0.000
65783,173.000,0.000
65784,173.000,0.000
65785,173.000,0.000
65786,172.000,0.000
65787,171.000,0.000
65788,170.000,0.000
65789,170.000,0.000
65790,171.000,0.000
65791,172.000,0.000
65792,172.000,0.000
65793,173.000,0.000
65794,172.000,0.000
65795,171.000,0.000
65796,170.000,0.000
65797,170.000,0.000
65798,171.000,0.000
65799,172.000,0.000
65800,173.000,0.000
65801,173.000,0.000
65802,173.000,0.000
65803,172.000,0.000
65804,171.000,0.000
65805,170.000,0.000
65806,171.000,0.000
65807,171.000,0.000
65808,172.000,0.000
65809,173.000,0.000
65810,173.000,0.000
65811,172.000,0.000
65812,171.000,0.000
65813,171.000,0.000
65814,171.000,0.000
65815,171.000,0.000
65816,172.000,0.000
65817,173.000,0.000
65818,173.000,0.000
65819,173.000,0.000
65820,172.000,0.000
65821,171.000,0.000
65822,170.000,0.000
65823,170.000,0.000
65824,171.000,0.000
65825,172.000,0.000
65826,173.000,0.000
65827,173.000,0.000
65828,172.000,0.000
65829,171.000,0.000
65830,170.000,0.000
65831,170.000,0.000
65832,170.000,0.000
65833,172.000,0.000
65834,173.000,0.000
65835,173.000,0.000
65836,172.000,0.000
65837,172.000,0.000
65838,171.000,0.000
65839,170.000,0.000
65840,170.000,0.000
65841,171.000,0.000
65842,172.000,0.000
65843,172.000,0.000
65844,172.000,0.000
65845,172.000,0.000
65846,171.000,0.000
65847,170.000,0.000
65848,169.000,0.000
65849,170.000,0.000
65850,171.000,0.000
65851,172.000,0.000
65852,172.000,0.000
65853,172.000,0.000
65854,172.000,0.000
65855,171.000,0.000
65856,170.000,0.000
65857,170.000,0.000
65858,171.000,0.000
65859,172.000,0.000
65860,172.000,0.000
65861,172.000,0.000
65862,172.000,0.000
65863,171.000,0.000
65864,170.000,0.000
65865,170.000,0.000
65866,170.000,0.000
65867,171.000,0.000
65868,172.000,0.000
65869,173.000,0.000
65870,173.000,0.000
65871,172.000,0.000
65872,170.000,0.000
65873,170.000,0.000
65874,170.000,0.000
65875,171.000,0.000
65876,171.000,0.000
65877,172.000,0.000
65878,172.000,0.000
65879,172.000,0.000
65880,171.000,0.000
65881,170.000,0.000
65882,170.000,0.000
65883,170.000,0.000
65884,171.000,0.000
65885,172.000,0.000
65886,173.000,0.000
65887,173.000,0.000
65888,172.000,0.000
65889,171.000,0.000
65890,170.000,0.000
65891,170.000,0.000
65892,171.000,0.000
65893,172.000,0.000
65894,173.000,0.000
65895,173.000,0.000
65896,172.000,0.000
65897,171.000,0.000
65898,171.000,0.000
65899,170.000,0.000
65900,170.000,0.000
65901,171.000,0.000
65902,172.000,0.000
65903,173.000,0.000
65904,172.000,0.000
65905,172.000,0.000
65906,171.000,0.000
65907,171.000,0.000
65908,170.000,0.000
65909,171.000,0.000
65910,172.000,0.000
65911,173.000,0.000
65912,173.000,0.000
65913,173.000,0.000
65914,172.000,0.000
65915,171.000,0.000
65916,170.000,0.000
65917,171.000,0.000
65918,171.000,0.000
65919,172.000,0.000
65920,173.000,0.000
65921,173.000,0.000
65922,172.000,0.000
65923,171.000,0.000
65924,170.000,0.000
65925,170.000,0.000
65926,171.000,0.000
65927,172.000,0.000
65928,173.000,0.000
65929,173.000,0.000
65930,173.000,0.000
65931,172.000,0.000
65932,171.000,0.000
65933,170.000,0.000
65934,171.000,0.000
65935,171.000,0.000
65936,172.000,0.000
65937,173.000,0.000
65938,173.000,0.000
65939,172.000,0.000
65940,171.000,0.000
65941,171.000,0.000
65942,171.000,0.000
65943,171.000,0.000
65944,172.000,0.000
65945,173.000,0.000
65946,173.000,0.000
65947,173.000,0.000
65948,172.000,0.000
65949,171.000,0.000
65950,171.000,0.000
65951,171.000,0.000
65952,171.000,0.000
65953,172.000,0.000
65954,173.000,0.000
65955,173.000,0.000
65956,172.000,0.000
65957,171.000,0.000
65958,171.000,0.000
65959,170.000,0.000
65960,170.000,0.000
65961,172.000,0.000
65962,173.000,0.000
65963,173.000,0.000
65964,173.000,0.000
65965,172.000,0.000
65966,171.000,0.000
65967,171.000,0.000
65968,170.000,0.000
65969,171.000,0.000
65970,172.000,0.000
65971,173.000,0.000
65972,172.000,0.000
65973,172.000,0.000
65974,171.000,0.000
65975,170.000,0.000
65976,170.000,0.000
65977,170.000,0.000
65978,172.000,0.000
65979,173.000,0.000
65980,173.000,0.000
65981,173.000,0.000
65982,172.000,0.000
65983,171.000,0.000
65984,170.000,0.000
65985,171.000,0.000
65986,171.000,0.000
65987,172.000,0.000
65988,172.000,0.000
65989,173.000,0.000
65990,172.000,0.000
65991,171.000,0.000
65992,170.000,0.000
65993,170.000,0.000
65994,170.000,0.000
65995,171.000,0.000
65996,172.000,0.000
65997,173.000,0.000
65998,173.000,0.000
65999,172.000,0.000
66000,170.000,0.000
66001,170.000,0.000
66002,170.000,0.000
66003,171.000,0.000
66004,171.000,0.000
66005,172.000,0.000
66006,173.000,0.000
66007,172.000,0.000
66008,171.000,0.000
66009,170.000,0.000
66010,170.000,0.000
66011,170.000,0.000
66012,171.000,0.000
66013,172.000,0.000
66014,173.000,0.000
66015,173.000,0.000
66016,172.000,0.000
66017,171.000,0.000
66018,171.000,0.000
66019,171.000,0.000
66020,171.000,0.000
66021,172.000,0.000
66022,173.000,0.000
66023,173.000,0.000
66024,172.000,0.000
66025,172.000,0.000
66026,171.000,0.000
66027,170.000,0.000
66028,170.000,0.000
66029,171.000,0.000
66030,173.000,0.000
66031,173.000,0.000
66032,173.000,0.000
66033,172.000,0.000
66034,171.000,0.000
66035,171.000,0.000
66036,170.000,0.000
66037,171.000,0.000
66038,172.000,0.000
66039,173.000,0.000
66040,173.000,0.000
66041,173.000,0.000
